Datetime,open_time,open,high,low,close,volume
2024-04-10 04:43:00,1712695380000,69024.0,69054.25,69024.0,69054.24,10.9156
2024-04-10 04:44:00,1712695440000,69054.24,69054.25,69052.01,69052.01,4.24388
2024-04-10 04:45:00,1712695500000,69052.01,69125.0,69036.0,69107.76,14.90646
2024-04-10 04:46:00,1712695560000,69107.75,69107.76,69061.43,69061.43,10.58256
2024-04-10 04:47:00,1712695620000,69061.44,69088.0,69061.43,69088.0,9.3324
2024-04-10 04:48:00,1712695680000,69088.0,69088.0,69053.53,69077.43,11.78503
2024-04-10 04:49:00,1712695740000,69077.43,69100.0,69077.43,69096.0,10.95978
2024-04-10 04:50:00,1712695800000,69095.99,69104.01,69088.44,69104.01,8.88768
2024-04-10 04:51:00,1712695860000,69104.01,69124.0,69100.0,69123.99,10.37002
2024-04-10 04:52:00,1712695920000,69123.99,69124.0,69080.02,69080.02,12.7413
2024-04-10 04:53:00,1712695980000,69080.03,69080.03,69080.0,69080.01,3.35447
2024-04-10 04:54:00,1712696040000,69080.01,69105.89,69080.0,69105.88,11.17018
2024-04-10 04:55:00,1712696100000,69105.89,69134.7,69104.01,69104.01,9.62815
2024-04-10 04:56:00,1712696160000,69104.02,69104.02,69084.44,69084.44,7.40527
2024-04-10 04:57:00,1712696220000,69084.45,69105.89,69084.44,69105.88,9.9056
2024-04-10 04:58:00,1712696280000,69105.88,69128.0,69102.83,69124.46,17.01106
2024-04-10 04:59:00,1712696340000,69124.45,69171.19,69124.45,69171.19,7.38296
2024-04-10 05:00:00,1712696400000,69171.18,69186.54,69153.23,69153.24,17.34406
2024-04-10 05:01:00,1712696460000,69153.23,69153.24,69118.65,69118.65,11.37289
2024-04-10 05:02:00,1712696520000,69118.65,69118.66,69100.72,69114.7,18.99878
2024-04-10 05:03:00,1712696580000,69114.71,69114.71,69093.55,69094.35,9.39622
2024-04-10 05:04:00,1712696640000,69094.34,69094.35,69080.0,69080.0,6.99703
2024-04-10 05:05:00,1712696700000,69080.01,69080.01,69080.0,69080.0,4.1502
2024-04-10 05:06:00,1712696760000,69080.0,69080.01,69065.66,69066.04,5.90228
2024-04-10 05:07:00,1712696820000,69066.03,69066.04,68981.99,68996.0,27.59316
2024-04-10 05:08:00,1712696880000,68996.0,69022.36,68980.01,68980.01,23.27797
2024-04-10 05:09:00,1712696940000,68980.02,68980.02,68935.64,68943.33,19.43489
2024-04-10 05:10:00,1712697000000,68943.33,68979.53,68943.32,68979.53,11.48892
2024-04-10 05:11:00,1712697060000,68979.52,69034.92,68979.52,69026.89,15.79606
2024-04-10 05:12:00,1712697120000,69026.89,69059.91,69026.89,69032.0,14.34502
2024-04-10 05:13:00,1712697180000,69032.0,69035.95,69017.89,69030.59,11.90573
2024-04-10 05:14:00,1712697240000,69030.6,69040.0,69021.67,69039.99,10.50442
2024-04-10 05:15:00,1712697300000,69040.0,69086.78,69032.0,69086.77,15.50365
2024-04-10 05:16:00,1712697360000,69086.77,69100.0,69076.0,69100.0,7.09087
2024-04-10 05:17:00,1712697420000,69100.0,69128.51,69099.99,69121.6,13.96584
2024-04-10 05:18:00,1712697480000,69121.59,69121.6,69084.14,69107.99,8.02213
2024-04-10 05:19:00,1712697540000,69107.99,69126.76,69106.77,69106.77,10.33132
2024-04-10 05:20:00,1712697600000,69106.78,69106.78,69045.57,69045.58,6.3483
2024-04-10 05:21:00,1712697660000,69045.58,69045.58,69039.06,69039.07,7.08467
2024-04-10 05:22:00,1712697720000,69039.06,69039.07,68952.0,68952.74,17.31308
2024-04-10 05:23:00,1712697780000,68952.75,69003.77,68950.73,69003.77,17.27228
2024-04-10 05:24:00,1712697840000,69003.76,69015.76,69003.76,69004.71,6.7488
2024-04-10 05:25:00,1712697900000,69004.71,69008.0,68988.0,69004.34,10.59684
2024-04-10 05:26:00,1712697960000,69004.35,69009.4,69004.34,69009.4,11.07905
2024-04-10 05:27:00,1712698020000,69009.39,69009.4,69009.39,69009.4,4.71526
2024-04-10 05:28:00,1712698080000,69009.4,69043.25,69009.39,69043.25,28.81371
2024-04-10 05:29:00,1712698140000,69043.25,69085.25,69043.24,69085.24,8.14336
2024-04-10 05:30:00,1712698200000,69085.24,69100.0,69085.24,69100.0,12.55266
2024-04-10 05:31:00,1712698260000,69100.0,69134.35,69099.99,69134.34,12.89975
2024-04-10 05:32:00,1712698320000,69134.34,69153.04,69134.34,69153.03,10.88119
2024-04-10 05:33:00,1712698380000,69153.03,69191.07,69153.03,69191.07,7.43349
